round_number,emotion,text_id,timestamp,prolific_id,anger,boredom,disgust,fear,guilt,joy,pride,relief,sadness,shame,surprise,trust,generated_text,hidden_emo_text,event_duration,emotion_duration,intensity,confidence,suddenness,familiarity,predict_event,pleasantness,unpleasantness,goal_relevance,chance_responsblt,self_responsblt,other_responsblt,predict_conseq,goal_support,urgency,self_control,other_control,chance_control,accept_conseq,standards,social_norms,attention,not_consider,effort,previous_participation,age,gender,education,ethnicity,extravert,critical,dependable,anxious,open,quiet,sympathetic,disorganized,calm,conventional,did_you_lie?,original_demographics
round-5,trust,52750,2021/10/06 3:08:01 pm EET,7288d7ec8a01d53165be949cedd92baf,1,1,1,1,1,4,2,1,1,1,1,4,After I had an operation in hospital and had to leave my 3 week old baby with my partner for the hours that I was under general anaesthetic.,After I had an operation in hospital and had to leave my 3 week old baby with my partner for the hours that I was under general anaesthetic.,hours,hours,4,5,2,1,1,2,3,4,3,1,1,2,2,3,1,5,1,5,2,1,2,2,4,"No, I participated before and answered the next set of questions.",26,Female,Undergraduate degree (BA/BSc/other),European,5,3,5,5,5,5,5,5,5,4,The event really happened in my life.,COPIED FROM: text id 51143
round-3,anger,385,2021/09/03 4:48:01 pm EET,afdce9dc9492d397610e91cb74d8dca6,1,2,1,1,1,1,1,2,2,1,1,1,I was told I wasn't getting refunded for a paid vacation.,I was told I wasn't getting refunded for a paid vacation.,weeks,weeks,4,4,5,5,5,1,4,5,5,1,2,3,1,2,5,5,5,5,4,5,5,5,2,"Yes, first time, I will answer the following questions.",19,Female,High school,North American,6,7,6,5,6,7,7,2,6,1,--,ORIGINAL
round-4,trust,41900,2021/09/20 12:47:32 am EET,af32fd6b09ee9c483ca592f7b205430d,2,4,4,1,5,2,1,1,5,3,1,1,my mother opened up to me about her mental health problems as i confessed about my own. i felt safe to trust her.,my mother opened up to me about her mental health problems as i confessed about my own. i felt safe to ... her.,hours,weeks,5,5,3,1,1,5,1,3,1,5,2,1,2,3,4,5,5,2,1,1,5,1,5,"Yes, first time, I will answer the following questions.",22,Female,Graduate degree (MA/MSc/MPhil/other),European,5,6,7,5,7,3,7,2,1,4,--,ORIGINAL
round-6,surprise,6988,2021/11/01 9:14:30 pm CET,261202a946f30f0fc56f0b480f1d5d05,2,4,1,2,1,2,1,1,2,1,1,1,i got a promotion,i got a promotion,days,days,4,5,4,4,2,5,1,5,2,5,1,2,5,4,2,4,3,5,1,1,5,1,2,"No, I participated before and answered the next set of questions.",23,Female,High school,Caribbean,2,4,7,3,6,6,7,1,6,1,The event really happened in my life.,COPIED FROM: text id 6832
round-4,boredom,4245,2021/09/20 12:34:13 am EET,1c6a8eb893404edeb58981b5f8b084bb,1,1,1,1,1,2,1,1,2,1,1,1,I felt boredom when I couldnt sleep.,I felt ... when I couldnt sleep.,hours,hours,5,5,2,5,5,1,5,2,1,3,3,5,1,3,3,1,2,4,4,1,3,5,5,"No, I participated before and answered the next set of questions.",22,Female,No formal qualifications,European,5,3,6,6,5,5,6,3,6,5,--,COPIED FROM: text id 4147
round-6,surprise,61023,2021/11/01 9:53:54 pm CET,518c9890bc48cb46c04c1ae9e6cf64a5,1,2,1,1,1,1,1,1,1,1,1,1,"i got asked to be part of my sister in laws wedding as i wasn't particularly close to her at the time, nor was I married to her brother yet.","i got asked to be part of my sister in laws wedding as i wasn't particularly close to her at the time, nor was I married to her brother yet.",seconds,seconds,2,3,5,3,2,3,3,1,3,1,4,1,4,5,1,5,1,5,1,1,4,1,3,"No, I participated before and answered the next set of questions.",30,Female,Undergraduate degree (BA/BSc/other),European,6,1,7,1,7,1,5,1,5,1,The event really happened in my life.,COPIED FROM: text id 61034
round-3,relief,3922,2021/09/03 10:27:57 pm EET,6770b7b28fb532a9c3927793876e8013,1,4,1,1,1,1,1,1,1,1,1,1,i was finally diagnosed with depression and recieving help,i was finally diagnosed with depression and recieving help,seconds,hours,5,4,3,1,1,3,3,3,1,1,1,1,3,2,3,4,4,2,1,3,3,2,3,"No, I participated before and answered the next set of questions.",24,Female,Undergraduate degree (BA/BSc/other),European,5,5,5,7,6,5,5,3,2,2,--,COPIED FROM: text id 3329
round-4,surprise,41700,2021/09/20 12:44:30 am EET,54aa1da7754327b37e3bb2b27592a54c,1,3,1,1,1,1,1,1,1,1,1,4,Partner bought new clothes for me as a gift,Partner bought new clothes for me as a gift,minutes,hours,5,5,5,1,1,5,1,1,1,1,5,1,3,5,1,5,1,1,1,1,5,1,5,"No, I participated before and answered the next set of questions.",27,Female,Undergraduate degree (BA/BSc/other),European,5,3,7,6,5,4,7,1,5,1,--,COPIED FROM: text id 430
round-5,joy,51317,2021/10/06 5:04:57 pm EET,3d69acd8f4d32fb77c3e3bd9a15aca70,1,3,1,1,2,3,3,2,3,1,1,4,I saw my favourite cyclist won his race today,I saw my favourite cyclist won his race today,hours,minutes,3,4,2,4,5,5,1,1,2,1,5,3,1,1,1,5,2,5,1,1,3,1,2,"Yes, first time, I will answer the following questions.",19,Male,High school,European,5,4,6,3,6,5,5,3,4,3,The event really happened in my life.,ORIGINAL
round-3,fear,3429,2021/09/03 5:56:29 pm EET,70156a26f765ebf26e0089b01b76089c,2,5,2,2,2,2,2,4,4,2,2,2,"I felt fear when I first went to pick up my puppy when we were picking him up from the breeder and he jumped from my arms and fell to the ground and cried and whimpered for like a minute straight. he's completely fine and is just a drama king, and still cries over absolutely nothing, but it was very scary thinking I may have hurt a 5 pound puppy.","I felt ... when I first went to pick up my puppy when we were picking him up from the breeder and he jumped from my arms and fell to the ground and cried and whimpered for like a minute straight. he's completely fine and is just a drama king, and still cries over absolutely nothing, but it was very ... thinking I may have hurt a 5 pound puppy.",seconds,minutes,5,5,5,1,2,1,5,5,5,2,5,5,1,4,2,3,4,3,3,2,5,5,5,"No, I participated before and answered the next set of questions.",20,Female,High school,North American,5,6,7,7,3,7,7,7,2,6,--,COPIED FROM: text id 3224
